Country,Count
United Kingdom,106
Germany,82
Canada,48
France,44
Japan,30
Spain,27
China,27
Netherlands,25
Italy,25
Switzerland,24
Australia,20
Israel,14
South Korea,12
India,10
Sweden,9
Turkey,9
Austria,8
Iran,7
Portugal,7
Norway,6
Belgium,6
Greece,6
Anguilla,4
Brazil,4
Colombia,4
Finland,4
Taiwan,3
Hong Kong,3
Hungary,2
Poland,2
Chile,2
Mexico,2
Denmark,2
Russia,2
Cyprus,1
Lithuania,1
Romania,1
Thailand,1
Saudi Arabia,1
Estonia,1
United Arab Emirates,1
Czechia,1
Ireland,1
Argentina,1
Singapore,1
Slovakia,1
Albania,1
Palestine,1
Luxembourg,1
New Zealand,1
Egypt,1
