Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Stephen M. Smith,"WIN (FMRIB), Oxford University",https://scholar.google.com/citations?hl=en&user=gRptb5UAAAAJ,"Brain imaging, MRI, Computational Neuroscience, Connectomics, Medical Image Analysis",fmrib.ox.ac.uk,240260,uk,,,,,
Anders M. Dale,"Professor of Neurosciences, Radiology, Psychiatry, Cognitive Science, and Data Science ",https://scholar.google.com/citations?hl=en&user=F4URLXYAAAAJ,"MRI, Neuroimaging, Computational Neuroscience, Statistical Genetics, Biomedical Optics, Biomedical Optics", ucsd.edu,202904,us,,,,,
Greg Corrado,Google Research,https://scholar.google.com/citations?hl=en&user=HBtozdUAAAAJ,"Machine Learning, Computational Neuroscience",google.com,186633,us,,,,,
Terrence Sejnowski,"Francis Crick Professor, Salk Institute, Distingished Professor, UC San Diego",https://scholar.google.com/citations?hl=en&user=m1qAiOUAAAAJ,"Computational Neuroscience, Artificial Intelligence",salk.edu,177119,us,,,,,
Klaus-Robert M®πller,Google DeepMind & TU Berlin & Korea University & Max Planck Institute for Informatics ,https://scholar.google.com/citations?hl=en&user=jplQac8AAAAJ,"Machine learning, artificial intelligence, big data, computational neuroscience",tu-berlin.de,149966,de,,,,,
Jonathon Shlens,"Principal Scientist and Director, Google Research",https://scholar.google.com/citations?hl=en&user=sm1q2bYAAAAJ,"Vision, Machine Learning, Computational Neuroscience",google.com,148409,us,,,,,
Edmund T Rolls,Oxford Centre for Computational Neuroscience and University of Warwick,https://scholar.google.com/citations?hl=en&user=4tIgOKsAAAAJ,"Neuroscience, Computational Neuroscience, Emotion, Memory, Vision",oxcns.org,118628,uk,,,,,
Joshua B. Tenenbaum,MIT,https://scholar.google.com/citations?hl=en&user=rRJ9wTJMUB8C,"Cognitive science, artificial intelligence, machine learning, computational neuroscience, cognitive psychology",mit.edu,117590,us,,,,,
Eero P Simoncelli,"Professor of Neural Science, Mathematics, Data Science, Psychology @ NYU.",https://scholar.google.com/citations?hl=en&user=MplR7_cAAAAJ,"Computational Vision, Computational Neuroscience, Image Processing, Vision Science",nyu.edu,114388,us,,,,,
Tim Behrens,"Professor of Computational Neuroscience, University of Oxford. Honorary Prof, UCL",https://scholar.google.com/citations?hl=en&user=i3l_ejQAAAAJ,"Computational Neuroscience, Behavioral Neuroscience, Representation learning",fmrib.ox.ac.uk,113344,uk,,,,,
Olaf Sporns,"Distinguished Professor, Psychological and Brain Sciences, Indiana University",https://scholar.google.com/citations?hl=en&user=gzPWwdIAAAAJ,"Network Science, Computational Neuroscience, Theoretical Neuroscience, Connectome, Connectomics",indiana.edu,112963,us,,,,,
Christos H PAPADIMITRIOU,Columbia University,https://scholar.google.com/citations?hl=en&user=rXYLXJMAAAAJ,"Algorithms, Complexity, Game Theory, Evolution, Computational Neuroscience",columbia.edu,97362,us,,,,,
Vinod Menon,"Professor of Psychiatry, Neurology, Neuroscience and Education, Stanford University",https://scholar.google.com/citations?hl=en&user=QzqctJgAAAAJ,"Systems neuroscience, Psychiatry, Cognitive neuroscience, Computational neuroscience",stanford.edu,96950,us,,,,,
Matthew Botvinick,"Google DeepMind, Yale Law School, University College London",https://scholar.google.com/citations?hl=en&user=eM916YMAAAAJ,"Artificial Intelligence, AI Policy and Governance, Cognitive Science, Computational Neuroscience",google.com,89495,us,,,,,
Stephen Grossberg,"Wang Professor of Cognitive and Neural Systems, Boston University",https://scholar.google.com/citations?hl=en&user=3BIV70wAAAAJ,"computational neuroscience, theoretical cognitive science and psychology, neuromorphic technology, applied mathematics",bu.edu,85168,us,,,,,
Jean-Jacques Slotine,"MIT, Professor of Mechanical Engineering and Information Sciences, Professor of Brain ","https://scholar.google.com/citations?hl=en&user=TcREpMQAAAAJ,Dynamical Systems","Complex Systems,  Control Theory,  Computational Neuroscience, Robotics",mit.edu,78262,us,,,,, 
Mark Woolrich,"Head of Analysis, OHBA, University of Oxford",https://scholar.google.com/citations?hl=en&user=Q9Eimh8AAAAJ,"Neuroscience, Neuroimaging, Computational Neuroscience, Machine Learning, Brain Networks",ohba.ox.ac.uk,76411,uk,,,,,
Aapo Hyvarinen,University of Helsinki,https://scholar.google.com/citations?hl=en&user=UnrY-40AAAAJ,"Machine Learning, Computational Neuroscience, #UnivHelsinkiCS",helsinki.fi,72060,fi,,,,,
Daniel Wolpert,"Professor of Neuroscience, Columbia University",https://scholar.google.com/citations?hl=en&user=YM8BRlUAAAAJ,"Neuroscience, Computational Neuroscience, motor control, motor learning",columbia.edu,71686,us,,,,,
H Sebastian Seung,"Professor, Princeton Neuroscience Institute and Computer Science Dept.",https://scholar.google.com/citations?hl=en&user=BD8llAEAAAAJ,"computational neuroscience, connectomics",princeton.edu,63840,us,,,,,
Dana Ballard,"Professor of Computer Science, University of Texas at Austin",https://scholar.google.com/citations?hl=en&user=67aYFTQAAAAJ,"Neuroscience, Computational neuroscience, motor control",cs.utexas.edu,60321,us,,,,,
"Peter J. Basser, Ph.D.","Senior Investigator, NICHD, NIH",https://scholar.google.com/citations?hl=en&user=FtyOQzwAAAAJ,"Diffusion MRI, Biophysics, Transport Processes, Computational Neuroscience, Tissue Sciences",helix.nih.gov,60232,us,,,,,
Laurent Itti,"Professor of Computer Science, University of Southern California",https://scholar.google.com/citations?hl=en&user=xhUvqK8AAAAJ,"Computational neuroscience, machine vision, artificial intelligence",usc.edu,58915,us,,,,,
Michael Arbib,University of California at San Diego,https://scholar.google.com/citations?hl=en&user=it1vhYAAAAAJ,"Computational Neuroscience, Neurolinguistics, Neuroinformatics",usc.edu,54975,us,,,,,
David J Heeger,"Professor of Psychology and Neural Science, New York University",https://scholar.google.com/citations?hl=en&user=6ggnUzYAAAAJ,"Neuroscience, Visual Neuroscience, Computational Neuroscience, Perceptual Psychology, Image Processing",nyu.edu,52883,us,,,,,
